;Adresas;Kaina;KainaKV;plotas;KambariuSk
80;Kaunas, Žemieji Šančiai, Kranto al.;137 500 €;2 191;62.75;3
81;Kaunas, Vilijampolė, Brastos g.;389 000 €;3 687;105.51;4
82;Vilnius, Pašilaičiai, Laisvės pr.;288 000 €;2 382;120.93;4
83;Kaunas, Senamiestis, Pilies g.;499 999 €;6 250;80;3
84;Vilnius, Šnipiškės, Šatrijos g.;229 000 €;5 205;44;2
85;Vilnius, Lazdynai, M. Mironaitės g.;159 900 €;3 476;46;2
86;Palanga, Palanga, Vanagupės g.;355 000 €;6 928;51.24;2
87;Vilnius, Senamiestis, Palangos g.;500 000 €;3 378;148;4
88;Palanga, Vanagupės g.;299 000 €;3 462;86.36;4
89;Vilnius, Senamiestis, J. Basanavičiaus g.;490 000 €;3 141;156;4
90;Jonavos m., Geležinkelio g.;70 000 €;963  ;72.67;3
91;Kaunas, Žaliakalnis, Šimkaičių g.;195 000 €;2 786;70;3
92;Klaipėda, Centras, Kuosų g.;139 000 €;2 206;63;2
93;Vilnius, Žirmūnai, Kareivių g.;214 423 €;3 057;70.14;4
94;Vilnius, Žvėrynas, A. Mickevičiaus g.;520 000 €;6 582;79;4
95;Vilnius, Šnipiškės, Konstitucijos pr.;335 000 €;3 350;100;4
96;Vilnius, Šnipiškės, Kalvarijų g.;179 000 €;3 972;45.07;2
97;Klaipėda, Paupiai, Ragainės g.;135 500 €;3 196;42.4;2
98;Vilnius, Žirmūnai, M. Katkaus g.;179 000 €;3 580;50;2
99;Palanga, Palanga, Vytauto g.;219 000 €;5 230;41.87;2
100;Vilnius, Lazdynėliai, Lazdynėlių g.;159 900 €;2 758;57.97;3
101;Vilnius, Šiaurės miestelis, J. Galvydžio g.;139 000 €;2 985;46.57;2
102;Klaipėda, Labrenciškės, Kretingos g.;177 775 €;2 090;85.06;4
103;Klaipėda, Paupiai, Klemiškės g.;185 000 €;3 083;60;3
104;Klaipėda, Senamiestis, J. Janonio g.;95 000 €;2 159;44;2
105;Vilnius, Karoliniškės, Vytauto Vaitkaus g.;116 000 €;3 345;34.68;2
106;Vilnius, Naujoji Vilnia, Dūmų g.;56 000 €;1 856;30.18;2
107;Vilnius, Užupis, Krivių g.;195 000 €;4 333;45;2
108;Vilnius, Markučiai, Manufaktūrų g.;232 000 €;4 901;47.34;2
109;Visagino m., Sedulinos al.;46 000 €;659  ;69.8;4
110;Vilnius, Fabijoniškės, Salomėjos Nėries g.;150 000 €;2 399;62.53;2
111;Vilnius, Pilaitė, Tolminkiemio g.;166 900 €;3 252;51.32;2
112;Vilnius, Senamiestis, Pylimo g.;690 000 €;4 825;143;4
113;Kaunas, Žemieji Šančiai, A. Juozapavičiaus pr.;149 999 €;2 885;52;2
114;Jonavos m., Kosmonautų g.;32 000 €;1 204;26.57;1
115;Vilnius, Valakampiai, Svajonių g.;375 000 €;3 989;94;4
116;Kauno r. sav., Jonučių II k., Versmės g.;73 128 €;1 825;40.07;2
117;Šiauliai, Centras, Draugystės pr.;89 000 €;1 735;51.29;3
118;Vilnius, Šiaurės miestelis, Žygio g.;183 000 €;3 027;60.46;2
119;Vilnius, Markučiai, Manufaktūrų g.;420 000 €;5 185;81;4
120;Palanga, Druskininkų g.;59 000 €;2 107;28;1
121;Vilnius, Lazdynėliai, Neužmirštuolių g.;265 000 €;2 665;99.44;3
122;Kaunas, Dainava, Partizanų g.;70 000 €;2 121;33;1
123;Vilnius, Markučiai, Manufaktūrų g.;252 000 €;5 663;44.5;2
124;Vilnius, Naujamiestis, Savanorių pr.;399 000 €;3 613;110.43;4
125;Palanga, Vėžių g.;277 200 €;3 587;77.28;4
126;Vilnius, Naujamiestis, Vinco Kudirkos g.;490 000 €;3 603;136;4
127;Vilnius, Senamiestis, Teatro g.;400 000 €;5 195;77;3
128;Vilnius, Šnipiškės, Kalvarijų g.;250 000 €;3 086;81;3
129;Klaipėda, Varpai, Varpų g.;89 900 €;2 246;40.02;2
130;Kaunas, Žemieji Šančiai, A. Juozapavičiaus pr.;180 000 €;4 055;44.39;2
131;Panevėžys, Klaipėdos, Kosmonautų g.;70 000 €;1 343;52.11;2
132;Trakų m., Linksmoji g.;81 500 €;1 990;40.95;2
133;Vilnius, Lazdynėliai, Lazdynėlių g.;192 900 €;3 445;56;3
134;Vilnius, Naujamiestis, T. Ševčenkos g.;95 000 €;4 556;20.85;2
135;Klaipėda, Centras, Kauno g.;85 000 €;2 237;38;2
136;Molėtų m., Mechanizatorių g.;119 000 €;1 486;80.06;4
137;Druskininkų m., Neravų g.;85 000 €;1 838;46.25;2
138;Vilnius, Šnipiškės, Sporto g.;167 000 €;4 039;41.35;2
139;Vilnius, Žemieji Paneriai, Jankiškių g.;70 000 €;2 059;34;2
140;Palanga, Vaivorykštės g.;72 500 €;2 553;28.4;2
141;Vilnius, Antakalnis, Rokantiškių g.;95 700 €;2 393;40;2
142;Vilnius, Naujininkai, Meistrų g.;48 500 €;1 940;25;1
143;Vilnius, Pašilaičiai, Perkūnkiemio g.;104 900 €;2 498;42;2
144;Druskininkų m., Vilniaus al.;249 615 €;4 300;58.05;2
145;Šiauliai, Gytariai, Kviečių g.;74 600 €;1 157;64.47;3
146;Šiauliai, Dainiai, Lyros g.;73 800 €;1 142;64.61;3
147;Vilnius, Naujamiestis, Savanorių pr.;285 000 €;6 196;46;2
148;Akmenės r. sav., Naujosios Akmenės m., Nepriklausomybės al.;26 000 €;565  ;46;2
149;Palanga, Vanagupės g.;155 000 €;3 946;39.28;1
150;Palanga, Šventoji, Mėguvos g.;109 999 €;2 275;48.35;2
151;Kaunas, Aleksotas, Bitininkų g.;289 999 €;3 671;79;3
152;Vilnius, Pašilaičiai, Eitminų g.;165 000 €;2 686;61.44;3
153;Kaunas, Senamiestis, Šv. Gertrūdos g.;255 000 €;2 260;112.81;3
154;Druskininkų m., Veisiejų g.;81 000 €;1 136;71.3;3
155;Kaunas, Šilainiai, J. Grušo g.;91 000 €;2 459;37;1
156;Širvintų m., Zibalų g.;25 000 €;1 058;23.63;1
157;Klaipėda, Centras, J. Zauerveino g.;265 000 €;3 136;84.5;3
158;Vilnius, Naujamiestis, Mindaugo g.;430 000 €;5 890;73;3
159;Vilnius, Naujamiestis, Vinco Kudirkos g.;287 000 €;3 706;77.45;3
160;Rietavo m., Daržų g.;89 900 €;1 404;64.01;3
161;Neringos m., Vilų g.;110 000 €;7 161;15.36;1
162;Utenos m., Aukštakalnis, Aukštakalnio g.;155 000 €;2 686;57.7;2
163;Kaunas, Rokai, Girmuonio g.;91 000 €;1 287;70.69;4
164;Klaipėda, Žvejybos uostas, Minijos g.;95 000 €;2 111;45;2
165;Kaunas, Dainava, Partizanų g.;69 500 €;1 565;44.4;2
166;Vilnius, Šeškinė, Fabijoniškių g.;199 000 €;3 980;50;2
167;Vilnius, Žemieji Paneriai, Vaduvos g.;78 000 €;1 926;40.5;1
168;Kėdainių m., Sodų g.;23 000 €;688  ;33.45;2
169;Kaunas, Žaliakalnis, P. Višinskio g.;72 000 €;2 118;34;2
170;Kėdainių m., Pavasario g.;52 000 €;1 042;49.9;2
171;Visagino m., Taikos pr.;19 900 €;552  ;36.08;1
172;Šiauliai, Rėkyva, Energetikų g.;62 000 €;1 161;53.42;2
173;Klaipėda, Žvejybos uostas, Minijos g.;16 500 €;807  ;20.44;1
174;Elektrėnų m., Šviesos g.;89 500 €;1 462;61.2;3
175;Širvintų m., Kalnalaukio g.;53 000 €;1 023;51.82;2
176;Vilnius, Pilaitė, I. Simonaitytės g.;196 000 €;2 781;70.48;2
177;Kaišiadorių r. sav., Pravieniškių k., Pravieniškių g.;24 700 €;682  ;36.2;1
178;Šilutės r. sav., Armalėnų k., Plytinės g.;28 000 €;490  ;57.16;3
179;Kelmės m., J. Janonio g.;50 000 €;1 000;50;2
180;Švenčionių r. sav., Pabradės m., Arnionių g.;55 000 €;1 082;50.81;3
181;Palanga, Palanga, Užkanavės g.;275 000 €;5 896;46.64;3
182;Vilnius, Justiniškės, Rygos g.;109 000 €;2 124;51.33;2
183;Kretingos m., Topolių aklg.;76 800 €;1 274;60.27;3
184;Elektrėnų m., Sodų g.;55 800 €;1 250;44.63;2
